
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server

  2026-02-23 00:58:33 /login ............................................................... ~ 1dt
  2026-02-23 00:58:34 /build/assets/theme-config-_-7EvQW4.js ............................ ~ 0.09ms
  2026-02-23 00:58:34 /build/assets/app-BBbKto29.css .................................... ~ 1.60ms
  2026-02-23 00:58:34 /build/assets/app-DgdY5Dxr.js ..................................... ~ 4.99ms
  2026-02-23 00:58:34 /logo.png ......................................................... ~ 0.16ms
  2026-02-23 00:58:34 /logo.png ......................................................... ~ 0.44ms
  2026-02-23 00:58:49 /research ....................................................... ~ 504.82ms
  2026-02-23 00:58:50 /build/assets/app-DgdY5Dxr.js ..................................... ~ 0.32ms
  2026-02-23 00:58:50 /build/assets/theme-config-_-7EvQW4.js ............................ ~ 3.71ms
  2026-02-23 00:58:49 /build/assets/app-BBbKto29.css .................................. ~ 520.21ms
  2026-02-23 00:58:50 /logo.png ......................................................... ~ 0.12ms
  2026-02-23 00:58:51 /logo.png ......................................................... ~ 2.64ms
  2026-02-23 00:58:58 /laporan-penelitian ............................................. ~ 501.15ms
  2026-02-23 00:58:58 /_debugbar/open ................................................... ~ 0.09ms
  2026-02-23 00:58:58 /build/assets/app-BBbKto29.css .................................... ~ 0.30ms
  2026-02-23 00:58:58 /logo.png ......................................................... ~ 0.16ms
  2026-02-23 00:59:22 /livewire-9c90a31d/update ....................................... ~ 503.85ms
  2026-02-23 00:59:23 /_debugbar/open ................................................... ~ 0.15ms
  2026-02-23 00:59:23 /dashboard ...................................................... ~ 505.00ms
  2026-02-23 00:59:23 /build/assets/app-BBbKto29.css .................................... ~ 0.22ms
  2026-02-23 00:59:23 /build/assets/app-DgdY5Dxr.js ..................................... ~ 0.15ms
  2026-02-23 00:59:23 /build/assets/theme-config-_-7EvQW4.js ............................ ~ 3.43ms
  2026-02-23 00:59:23 /logo.png ......................................................... ~ 0.16ms
  2026-02-23 00:59:30 /dashboard ........................................................ ~ 0.16ms
  2026-02-23 00:59:30 /_debugbar/open ................................................... ~ 0.14ms
  2026-02-23 00:59:30 /logo.png ......................................................... ~ 0.34ms
  2026-02-23 00:59:30 /dashboard ...................................................... ~ 500.38ms
  2026-02-23 00:59:31 /_debugbar/open ................................................... ~ 0.09ms
  2026-02-23 00:59:35 /research ......................................................... ~ 0.18ms
  2026-02-23 00:59:35 /_debugbar/open ................................................... ~ 0.12ms
  2026-02-23 00:59:38 /role/switch ...................................................... ~ 0.63ms
  2026-02-23 00:59:38 /research ....................................................... ~ 504.53ms
  2026-02-23 00:59:39 /build/assets/app-DgdY5Dxr.js ..................................... ~ 0.14ms
  2026-02-23 00:59:39 /build/assets/theme-config-_-7EvQW4.js ............................ ~ 1.99ms
  2026-02-23 00:59:39 /build/assets/app-BBbKto29.css .................................... ~ 3.44ms
  2026-02-23 00:59:39 /logo.png ......................................................... ~ 0.13ms
  2026-02-23 00:59:50 /research/proposal/create ....................................... ~ 502.92ms
  2026-02-23 00:59:51 /_debugbar/open ................................................... ~ 0.10ms
  2026-02-23 01:01:24 /logout ......................................................... ~ 507.93ms
  2026-02-23 01:01:24 / ............................................................... ~ 513.76ms
  2026-02-23 01:01:24 /dashboard ...................................................... ~ 501.44ms
  2026-02-23 01:01:24 /login ............................................................ ~ 0.67ms
  2026-02-23 01:01:25 /build/assets/app-DgdY5Dxr.js ..................................... ~ 0.15ms
  2026-02-23 01:01:25 /build/assets/theme-config-_-7EvQW4.js ............................ ~ 2.47ms
  2026-02-23 01:01:25 /build/assets/app-BBbKto29.css .................................... ~ 3.88ms
  2026-02-23 01:01:25 /logo.png ......................................................... ~ 0.20ms
  2026-02-23 01:01:34 /livewire-9c90a31d/update ....................................... ~ 505.43ms
  2026-02-23 01:01:34 /_debugbar/open ................................................. ~ 533.44ms
  2026-02-23 01:01:35 /dashboard ........................................................ ~ 0.13ms
  2026-02-23 01:01:35 /build/assets/app-DgdY5Dxr.js ..................................... ~ 0.27ms
  2026-02-23 01:01:35 /build/assets/theme-config-_-7EvQW4.js ............................ ~ 6.71ms
  2026-02-23 01:01:35 /build/assets/app-BBbKto29.css ................................... ~ 71.21ms
  2026-02-23 01:01:35 /logo.png ......................................................... ~ 0.15ms
  2026-02-23 01:01:38 /research ....................................................... ~ 504.86ms
  2026-02-23 01:01:38 /_debugbar/open ................................................... ~ 0.10ms
  2026-02-23 01:01:39 /build/assets/app-BBbKto29.css .................................... ~ 0.10ms
  2026-02-23 01:02:31 /research/proposal/create ....................................... ~ 507.48ms
  2026-02-23 01:02:32 /_debugbar/open ................................................... ~ 0.19ms
  2026-02-23 01:02:38 /research ......................................................... ~ 0.24ms
  2026-02-23 01:02:39 /build/assets/theme-config-_-7EvQW4.js ............................ ~ 0.23ms
  2026-02-23 01:02:39 /build/assets/app-DgdY5Dxr.js .................................... ~ 10.54ms
  2026-02-23 01:02:38 /build/assets/app-BBbKto29.css ................................... ~ 28.42ms
  2026-02-23 01:02:39 /logo.png ......................................................... ~ 3.98ms
  2026-02-23 01:02:39 /logo.png ......................................................... ~ 0.60ms
  2026-02-23 01:03:32 /research ......................................................... ~ 1.47ms
  2026-02-23 01:03:33 /build/assets/app-DgdY5Dxr.js ..................................... ~ 0.14ms
  2026-02-23 01:03:33 /build/assets/theme-config-_-7EvQW4.js ............................ ~ 2.29ms
  2026-02-23 01:03:33 /build/assets/app-BBbKto29.css .................................... ~ 4.40ms
  2026-02-23 01:03:33 /logo.png ......................................................... ~ 0.25ms
  2026-02-23 01:03:33 /logo.png ......................................................... ~ 0.48ms
  2026-02-23 01:04:59 /research/proposal/create ....................................... ~ 506.02ms
  2026-02-23 01:05:00 /_debugbar/open ................................................... ~ 0.09ms
  2026-02-23 01:06:37 /research/proposal/create ....................................... ~ 504.84ms
  2026-02-23 01:06:38 /_debugbar/open ................................................... ~ 0.21ms
  2026-02-23 01:06:41 /research ....................................................... ~ 504.13ms
  2026-02-23 01:06:42 /build/assets/app-DgdY5Dxr.js ..................................... ~ 0.15ms
  2026-02-23 01:06:42 /build/assets/theme-config-_-7EvQW4.js ............................ ~ 3.30ms
  2026-02-23 01:06:41 /build/assets/app-BBbKto29.css .................................. ~ 523.73ms
  2026-02-23 01:06:42 /logo.png ......................................................... ~ 0.15ms
  2026-02-23 01:06:43 /logo.png ......................................................... ~ 0.27ms
  2026-02-23 01:09:05 /users .......................................................... ~ 504.97ms
  2026-02-23 01:09:05 /_debugbar/open ................................................... ~ 0.12ms
  2026-02-23 01:09:06 /build/assets/app-BBbKto29.css .................................... ~ 0.09ms
  2026-02-23 01:09:07 /admin/archives ................................................... ~ 0.16ms
  2026-02-23 01:09:07 /_debugbar/open ................................................... ~ 0.08ms
  2026-02-23 01:09:14 /users/create ..................................................... ~ 0.16ms
  2026-02-23 01:09:14 /_debugbar/open ................................................... ~ 0.09ms
  2026-02-23 01:09:16 /admin/archives ................................................. ~ 504.87ms
  2026-02-23 01:09:16 /_debugbar/open ................................................... ~ 0.22ms
  2026-02-23 01:10:10 /dashboard ...................................................... ~ 505.37ms
  2026-02-23 01:10:11 /_debugbar/open ................................................... ~ 0.09ms
  2026-02-23 01:10:11 /admin/archives ................................................... ~ 0.32ms
  2026-02-23 01:10:12 /build/assets/app-DgdY5Dxr.js ................................... ~ 501.98ms
  2026-02-23 01:10:12 /build/assets/theme-config-_-7EvQW4.js .......................... ~ 503.90ms
  2026-02-23 01:10:12 /build/assets/app-BBbKto29.css .................................. ~ 505.36ms
  2026-02-23 01:10:12 /logo.png ......................................................... ~ 0.10ms
